edgebits,solver,gpu,nonce,edges,dupes,solve_ms
31,mean,0,5000146,1908,0,274
31,mean,0,5000147,1966,0,273
31,mean,0,5000148,1934,0,273
31,mean,0,5000149,1892,6,272
31,mean,0,5000150,1930,0,274
31,mean,0,5000151,1972,2,273
31,mean,0,5000152,1968,0,274
31,mean,0,5000153,1948,0,275
31,mean,0,5000154,1920,2,273
31,mean,0,5000155,1932,0,273
31,mean,0,5000156,2006,0,273
31,mean,0,5000157,1880,6,272
31,mean,0,5000158,1968,2,274
31,mean,0,5000159,1808,2,273
31,mean,0,5000160,1768,2,273
31,mean,0,5000161,1992,2,273
31,mean,0,5000162,1890,0,273
31,mean,0,5000163,1896,0,273
31,mean,0,5000164,2032,0,273
31,mean,0,5000165,1896,0,274
31,mean,0,5000166,1894,2,274
31,mean,0,5000167,1874,0,273
31,mean,0,5000168,2002,4,273
31,mean,0,5000169,1842,2,274
31,mean,0,5000170,1966,0,272
31,mean,0,5000171,1902,4,272
31,mean,0,5000172,1936,0,273
31,mean,0,5000173,1854,0,273
31,mean,0,5000174,1930,2,273
31,mean,0,5000175,1956,2,273
31,mean,0,5000176,1904,0,273
31,mean,0,5000177,1886,2,273
31,mean,0,5000178,1984,8,273
31,mean,0,5000179,2004,0,272
31,mean,0,5000180,2006,4,274
31,mean,0,5000181,1848,0,272
31,mean,0,5000182,1876,2,273
31,mean,0,5000183,1842,0,273
31,mean,0,5000184,1976,0,273
31,mean,0,5000185,2076,0,272
31,mean,0,5000186,1932,2,273
31,mean,0,5000187,2000,0,274
31,mean,0,5000188,1970,0,273
31,mean,0,5000189,1914,0,273
31,mean,0,5000190,2096,0,275
31,mean,0,5000191,1964,0,273
31,mean,0,5000192,1954,0,272
31,mean,0,5000193,1924,2,305
31,mean,0,5000194,1868,1,275
31,mean,0,5000195,1972,0,273
31,mean,0,5000196,1856,0,274
31,mean,0,5000197,2046,0,305
31,mean,0,5000198,1810,2,277
31,mean,0,5000199,1974,0,272
31,mean,0,5000200,1882,0,273
31,mean,0,5000201,1908,2,274
31,mean,0,5000202,1896,0,273
31,mean,0,5000203,1888,2,273
